# identity	declared-params	shape	result	fixture	native-status	fuel	comparison
stdlib.json/object-finish	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/expect-object	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/field-value	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/sequence-empty	0	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/sequence-element	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/sequence-finish	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/sequence-length	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/sequence-element-value	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/extra-decls	1	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.math/exp	1	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.math/log	1	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.math/pow	2	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.math/abs	1	fixed	expr	tests/integration/tlci_native_template_nodes.tl	ok	default	assembly
stdlib.math/sqrt	1	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.msvc/msvc-shared-view	1	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.msvc/msvc-array-element-shared-view	2	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.msvc/msvc-box-shared-view	1	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.process/process-place-shared-view	1	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.process_runtime/process-runtime-place-shared-view	1	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.queue/deque	1	fixed	module	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.result/result	2	fixed	module	tests/integration/generated_option_result_families.tl	ok	default	assembly
stdlib.serialize/serialize-shared-view	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/serialize-array-element-shared-view	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/array-fixed-length	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
