variant	id_name	producer	target	abi	feature	render_kind	contribution_kind	entry_anchor	interior_anchors	end_anchor	terminal	events	event_count	expected_rendered_size	expected_rendered_hash
WindowsObjectStackGuaranteeArgsBytes	windows-object-stack-guarantee-args-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-stack-guarantee-args-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	W:SetThreadStackGuarantee-size\nD:SetThreadStackGuarantee-size-address	2	13	1292925846
WindowsObjectStderrHandleArgsBytes	windows-object-stderr-handle-args-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-stderr-handle-args-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	5	1645103434
WindowsObjectWriteFailureTailBytes	windows-object-write-failure-tail-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-write-failure-tail-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	W:WriteFile-overlapped-null	1	18	504756112
WindowsObjectWriteOverflowTailBytes	windows-object-write-overflow-tail-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-write-overflow-tail-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	W:WriteFile-overlapped-null	1	18	88826013
WindowsObjectExit134ArgsBytes	windows-object-exit134-args-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-exit-134-args-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	5	1393403709
WindowsObjectOverflowFilterTestBytes	windows-object-overflow-filter-test-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-overflow-filter-test-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	16	1461453645
WindowsObjectOverflowFilterReturnBytes	windows-object-overflow-filter-return-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-overflow-filter-return-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	A:+40\nR	2	7	2095962113
LinuxObjectTlciImageContribution	linux-object-tlci-image-contribution	compiler_backend_object_target.tl:compiler-backend-object-add-tlci-entry-runtime-text	1:LinuxX64	1:SystemV	0:Always	2:StructuredObject	2:TlciBridge	tl_tlci_call_image_entry		tl_tlci_call_image_entry:end	1:Returns	A:-8\nI:generated-tlci-image-entry\nA:+8\nR	4	-1	-1
LinuxObjectTlciMacroContribution	linux-object-tlci-macro-contribution	compiler_backend_object_target.tl:compiler-backend-object-add-tlci-entry-runtime-text	1:LinuxX64	1:SystemV	6:TlciMacroEntry	2:StructuredObject	2:TlciBridge	tl_tlci_call_macro_entry		tl_tlci_call_macro_entry:end	1:Returns	D:stack-argument-7\nA:-8\nI:generated-tlci-macro-entry\nA:+8\nR	5	-1	-1
LinuxObjectStartContribution	linux-object-start-contribution	compiler_backend_object_target_linux.tl:compiler-backend-object-add-entry	1:LinuxX64	1:SystemV	18:NativeEntry	2:StructuredObject	1:Startup	_tl_start		_tl_start:end	3:TerminatesProcess	C:main\nP:linux-exit-syscall	2	-1	-1
WindowsObjectTlciImageContribution	windows-object-tlci-image-contribution	compiler_backend_object_target.tl:compiler-backend-object-add-tlci-entry-runtime-text	2:WindowsX64	2:Win64	0:Always	2:StructuredObject	2:TlciBridge	tl_tlci_call_image_entry		tl_tlci_call_image_entry:end	1:Returns	A:-40\nI:generated-tlci-image-entry\nA:+40\nR	4	-1	-1
WindowsObjectTlciMacroContribution	windows-object-tlci-macro-contribution	compiler_backend_object_target.tl:compiler-backend-object-add-tlci-entry-runtime-text	2:WindowsX64	2:Win64	6:TlciMacroEntry	2:StructuredObject	2:TlciBridge	tl_tlci_call_macro_entry		tl_tlci_call_macro_entry:end	1:Returns	D:stack-arguments-5-through-7\nA:-56\nW:outgoing-stack-arguments-5-and-6\nI:generated-tlci-macro-entry\nA:+56\nR	6	-1	-1
WindowsObjectRuntimeSupportContribution	windows-object-runtime-support-contribution	compiler_backend_object_target_windows.tl:compiler-backend-object-add-runtime-text	2:WindowsX64	2:Win64	18:NativeEntry	2:StructuredObject	0:RuntimeFunctions	__chkstk	tl_setup_argv\n.L_tl_boot_alloc	.L_tl_boot_alloc:end	6:Mixed	S:chkstk-scratch\nD:incoming-stack-probe-base\nR\nS:setup-argv-nonvolatile-set\nA:-40\nC:GetCommandLineA\nC:.L_tl_boot_alloc\nC:.L_tl_boot_alloc\nA:+40\nU:setup-argv-nonvolatile-set\nR\nR	12	-1	-1
WindowsObjectStartContribution	windows-object-start-contribution	compiler_backend_object_target_windows.tl:compiler-backend-object-add-entry-text	2:WindowsX64	2:Win64	18:NativeEntry	2:StructuredObject	1:Startup	_tl_start	.L_tl_start_converted_to_fiber\n.L_tl_start_main_fiber_created\n.L_tl_main_stack_reservation_failed	.L_tl_start_end	4:SuspendsOrTerminates	A:-40\nC:tl_setup_argv\nC:SetUnhandledExceptionFilter\nC:ConvertThreadToFiber\nB:.L_tl_main_stack_reservation_failed\nC:CreateFiberEx\nB:.L_tl_main_stack_reservation_failed\nF:SwitchToFiber|unexpected-return=.L_tl_main_stack_reservation_failed\nB:.L_tl_main_stack_reservation_failed\nC:GetStdHandle\nC:WriteFile\nP:ExitProcess	12	-1	-1
WindowsObjectMainFiberContribution	windows-object-main-fiber-contribution	compiler_backend_object_target_windows.tl:compiler-backend-object-add-entry-text	2:WindowsX64	2:Win64	18:NativeEntry	2:StructuredObject	3:ExternalFiberCallback	.L_tl_main_fiber		.L_tl_main_fiber_end	3:TerminatesProcess	E:CreateFiberEx-fiber-procedure\nA:-40\nC:SetThreadStackGuarantee\nC:main\nP:ExitProcess	5	-1	-1
WindowsObjectOverflowFilterContribution	windows-object-overflow-filter-contribution	compiler_backend_object_target_windows.tl:compiler-backend-object-add-entry-text	2:WindowsX64	2:Win64	18:NativeEntry	2:StructuredObject	4:ExternalExceptionCallback	.L_tl_stack_overflow_filter	.L_tl_stack_overflow_write\n.L_tl_stack_overflow_continue_search	.L_tl_stack_overflow_filter_end	5:ReturnsOrTerminates	E:SetUnhandledExceptionFilter-callback\nA:-40\nB:.L_tl_stack_overflow_continue_search\nC:GetStdHandle\nC:WriteFile\nP:ExitProcess\nA:+40\nR	8	-1	-1
